,41.783083,-110.537888,2022-09-05T16:00,PM2.5,45,1
0,40.2943,-110.009,2022-09-05T16:00,PM2.5,40,1
1,40.464722,-109.56083,2022-09-05T16:00,PM2.5,30,1
2,41.592591,-109.220125,2022-09-05T16:00,PM2.5,48,1
3,40.086941,-108.761002,2022-09-05T16:00,PM2.5,55,2
4,39.063599,-108.561096,2022-09-05T16:00,PM2.5,19,1
5,37.10258,-107.870219,2022-09-05T16:00,PM2.5,34,1
6,37.13678,-107.62863,2022-09-05T16:00,PM2.5,25,1
7,39.192966,-106.823183,2022-09-05T16:00,PM2.5,22,1
8,35.0186,-106.651901,2022-09-05T16:00,PM2.5,33,1
9,35.1441,-106.6044,2022-09-05T16:00,PM2.5,24,1
10,35.187801,-106.603897,2022-09-05T16:00,PM2.5,29,1
11,35.1353,-106.584702,2022-09-05T16:00,PM2.5,36,1
12,35.185,-106.5077,2022-09-05T16:00,PM2.5,25,1
13,35.6198,-106.0797,2022-09-05T16:00,PM2.5,16,1
14,41.324166,-105.614888,2022-09-05T16:00,PM2.5,26,1
15,36.3833,-105.5833,2022-09-05T16:00,PM2.5,17,1
16,41.308825,-105.549137,2022-09-05T16:00,PM2.5,5,1
17,40.0128,-105.2667,2022-09-05T16:00,PM2.5,25,1
18,39.714424,-105.124023,2022-09-05T16:00,PM2.5,0,1
19,39.714321,-105.123978,2022-09-05T16:00,PM2.5,0,1
20,39.714352,-105.123886,2022-09-05T16:00,PM2.5,0,1
21,40.164585,-105.100861,2022-09-05T16:00,PM2.5,33,1
22,40.571259,-105.079765,2022-09-05T16:00,PM2.5,24,1
23,39.5339,-105.07,2022-09-05T16:00,PM2.5,31,1
24,39.732144,-105.015313,2022-09-05T16:00,PM2.5,20,1
25,39.7794,-105.00523,2022-09-05T16:00,PM2.5,35,1
26,39.785622,-104.988469,2022-09-05T16:00,PM2.5,27,1
27,39.751099,-104.987198,2022-09-05T16:00,PM2.5,27,1
28,39.7386,-104.9394,2022-09-05T16:00,PM2.5,32,1
29,39.8281,-104.93645,2022-09-05T16:00,PM2.5,23,1
